talent_id,role_id,order
nm0004517,1,3
nm0004524,5,1
nm0004524,4,2
nm0004524,6,3
nm0004536,3,1
nm0004536,5,2
nm0004537,14,1
nm0004537,12,2
nm0004537,7,3
nm0004564,4,1
nm0004564,5,2
nm0004564,7,3
nm0004570,2,1
nm0004570,5,2
nm0004570,7,3
nm0004692,2,1
nm0004692,1,2
nm0004702,2,1
nm0004702,1,2
nm0004706,2,1
nm0004706,6,2
nm0004706,5,3
nm0004718,2,1
nm0004725,2,1
nm0004726,2,1
nm0004726,5,2
nm0004726,1,3
nm0004731,4,1
nm0004731,5,2
nm0004739,4,1
nm0004739,5,2
nm0004739,6,3
nm0004740,2,1
nm0004740,5,2
nm0004740,6,3
nm0004745,2,1
nm0004745,6,2
nm0004745,5,3
nm0004746,1,1
nm0004746,2,2
nm0004746,6,3
nm0004747,2,1
nm0004747,5,2
nm0004747,1,3
nm0004751,4,1
nm0004751,1,2
nm0004760,4,1
nm0004760,5,2
nm0004760,7,3
nm0004763,1,1
nm0004763,4,2
nm0004763,9,3
nm0004766,6,1
nm0004766,5,2
nm0004766,3,3
nm0004775,2,1
nm0004775,5,2
nm0004775,7,3
nm0004790,2,1
nm0004790,6,2
nm0004790,7,3
nm0004798,6,1
nm0004798,5,2
nm0004798,2,3
nm0004804,2,1
nm0004804,5,2
nm0004804,6,3
nm0004805,6,1
nm0004805,5,2
nm0004805,2,3
nm0004806,4,1
nm0004806,5,2
nm0004806,1,3
nm0004815,4,1
nm0004815,1,2
nm0004817,2,1
nm0004823,4,1
nm0004833,2,1
nm0004833,6,2
nm0004835,1,1
nm0004835,5,2
nm0004835,2,3
nm0004839,10,1
nm0004839,1,2
nm0004839,2,3
nm0004845,1,1
nm0004845,2,2
nm0004845,9,3
nm0004854,2,1
nm0004854,1,2
nm0004854,6,3
nm0004856,5,1
nm0004856,2,2
nm0004856,10,3
nm0004857,2,1
nm0004857,5,2
nm0004857,7,3
nm0004862,4,1
nm0004862,5,2
nm0004862,1,3
nm0004865,4,1
nm0004865,1,2
nm0004865,9,3
nm0004871,1,1
nm0004871,10,2
nm0004871,2,3
nm0004872,2,1
nm0004872,18,2
nm0004875,2,1
nm0004875,5,2
nm0004875,1,3
nm0004885,2,1
nm0004885,5,2
nm0004885,6,3
nm0004903,10,1
nm0004903,1,2
nm0004903,2,3
nm0004908,4,1
nm0004908,1,2
nm0004908,15,3
nm0004909,5,1
nm0004909,2,2
nm0004909,1,3
nm0004914,1,1
nm0004914,4,2
nm0004914,9,3
nm0004917,4,1
nm0004917,7,2
nm0004917,5,3
nm0004920,4,1
nm0004920,12,2
nm0004921,4,1
nm0004921,7,2
nm0004921,5,3
nm0004929,2,1
nm0004929,6,2
nm0004929,5,3
nm0004930,2,1
nm0004930,5,2
nm0004930,7,3
nm0004934,2,1
nm0004937,2,1
nm0004937,5,2
nm0004937,6,3
nm0004941,4,1
nm0004941,7,2
nm0004941,1,3
nm0004947,4,1
nm0004951,2,1
nm0004951,5,2
nm0004951,10,3
nm0004959,2,1
nm0004959,7,2
nm0004959,6,3
nm0004960,5,1
